task,seed,city,N,model,R2,RMSE,MAE
CityLens Healthcare overlap,42,Nairobi,119,Satellite,0.14515480984707751,1.1515274517752683,0.9250773650560243
CityLens Healthcare overlap,42,NewYork,213,Minimum-cost Intermediate,0.15862905651349601,1.0801291796646668,0.8758611217832427
CityLens Healthcare overlap,42,NewYork,213,Parameter-matched,0.19322144368518213,1.0576917504348293,0.8636517238885856
CityLens Healthcare overlap,42,NewYork,213,Exact,0.16715219524446623,1.0746443668577517,0.9093529708858952
CityLens Healthcare overlap,42,NewYork,213,Within-city Global,0.10768070609878155,1.1123516044879493,0.9633491943919609
CityLens Healthcare overlap,42,NewYork,213,Satellite,0.1481301334561972,1.0868474027745603,0.8672459664044333
CityLens Healthcare overlap,42,Paris,124,Minimum-cost Intermediate,0.12371011399388254,1.0173789195265086,0.8730790574274973
CityLens Healthcare overlap,42,Paris,124,Parameter-matched,0.04017566292325947,1.0647673215272522,0.9098380196930452
CityLens Healthcare overlap,42,Paris,124,Exact,0.16422743565456122,0.993580113124827,0.8648861928858721
CityLens Healthcare overlap,42,Paris,124,Within-city Global,0.05651243339183254,1.0556669512730592,0.9233715761105408
CityLens Healthcare overlap,42,Paris,124,Satellite,0.04474430746986624,1.062230218798118,0.9074594744262082
CityLens Healthcare overlap,42,SanFrancisco,167,Minimum-cost Intermediate,0.24359518743002095,1.1021373799845808,0.8475747084157585
CityLens Healthcare overlap,42,SanFrancisco,167,Parameter-matched,0.2468639563795324,1.0997533833656201,0.8700682074150201
CityLens Healthcare overlap,42,SanFrancisco,167,Exact,0.18963746989748909,1.140770459004877,0.8817952703985583
CityLens Healthcare overlap,42,SanFrancisco,167,Within-city Global,0.2234127448491393,1.1167442368775706,0.8899471672342061
CityLens Healthcare overlap,42,SanFrancisco,167,Satellite,0.2586228010632331,1.0911342872530525,0.8749710860268269
CityLens Healthcare overlap,42,SaoPaulo,280,Minimum-cost Intermediate,0.18059286727910628,1.0559170854231161,0.8572586462088726
CityLens Healthcare overlap,42,SaoPaulo,280,Parameter-matched,0.16101604274776848,1.068456327446945,0.8449466954644629
CityLens Healthcare overlap,42,SaoPaulo,280,Exact,0.16840252691123803,1.0637425404205008,0.8670214125366351
CityLens Healthcare overlap,42,SaoPaulo,280,Within-city Global,0.20786677995562974,1.0381953049114565,0.837796544102579
CityLens Healthcare overlap,42,SaoPaulo,280,Satellite,0.14675782184363995,1.0774970875052552,0.8564900512167298
CityLens Healthcare overlap,42,Shanghai,19,Minimum-cost Intermediate,-0.24470343246608994,1.4066630888980465,1.3153232312934815
CityLens Healthcare overlap,42,Shanghai,19,Parameter-matched,-0.17217784514010193,1.3650667941970143,1.2215855570582146
CityLens Healthcare overlap,42,Shanghai,19,Exact,-0.3352883697841176,1.4569501121693194,1.357469441841834
CityLens Healthcare overlap,42,Shanghai,19,Within-city Global,-0.2605120029388135,1.4155676880086903,1.32128424236815
CityLens Healthcare overlap,42,Shanghai,19,Satellite,-0.1373392453745832,1.3446280312992962,1.1898161902161093
CityLens Healthcare overlap,42,Sydney,208,Minimum-cost Intermediate,0.199666237151237,1.0224479859086806,0.72198157854012
CityLens Healthcare overlap,42,Sydney,208,Parameter-matched,0.1705262131770492,1.0408951561201287,0.7858630164110448
CityLens Healthcare overlap,42,Sydney,208,Exact,0.21681475918727844,1.0114348225918153,0.7269670190589099
CityLens Healthcare overlap,42,Sydney,208,Within-city Global,0.14134885639668882,1.0590440654072837,0.7626932436924878
CityLens Healthcare overlap,42,Sydney,208,Satellite,0.1853176264360421,1.0315726390007511,0.7800926319823779
CityLens Healthcare overlap,42,Tokyo,281,Minimum-cost Intermediate,0.05103487422985342,1.1192504659857718,0.9576020942164611
CityLens Healthcare overlap,42,Tokyo,281,Parameter-matched,0.06033905749400492,1.1137500726973038,0.9403837737088035
CityLens Healthcare overlap,42,Tokyo,281,Exact,0.0885341928709984,1.096913415833598,0.9360515438363968
CityLens Healthcare overlap,42,Tokyo,281,Within-city Global,0.07719226580610217,1.1037170982730096,0.9573501824674243
CityLens Healthcare overlap,42,Tokyo,281,Satellite,0.042465342780306226,1.124292745926545,0.953169577364455
CityLens Healthcare overlap,43,Beijing,29,Minimum-cost Intermediate,-0.020354858099607576,1.1574242031937938,0.9331874863570068
CityLens Healthcare overlap,43,Beijing,29,Parameter-matched,0.039226574901455424,1.1231232880914097,0.9285751031123878
CityLens Healthcare overlap,43,Beijing,29,Exact,-0.07105611673155643,1.1858316959441066,0.9627068584526705
CityLens Healthcare overlap,43,Beijing,29,Within-city Global,-0.05088621104041402,1.174612959943534,0.9773292240854766
CityLens Healthcare overlap,43,Beijing,29,Satellite,-0.12931536009086564,1.2176558484557867,1.0123774184912877
CityLens Healthcare overlap,43,CapeTown,252,Minimum-cost Intermediate,0.0742093216297246,0.9848552734884635,0.7058992598623375
CityLens Healthcare overlap,43,CapeTown,252,Parameter-matched,-0.059930944551163545,1.0537917607826255,0.746458158335497
CityLens Healthcare overlap,43,CapeTown,252,Exact,0.026867119228398795,1.0097226220522308,0.7361951155431068
CityLens Healthcare overlap,43,CapeTown,252,Within-city Global,0.02542034661612258,1.010472928872779,0.720003935652595
CityLens Healthcare overlap,43,CapeTown,252,Satellite,-0.024464948121688757,1.0360114726291576,0.7285926271449407
CityLens Healthcare overlap,43,London,198,Minimum-cost Intermediate,0.08315456885777317,0.9957011805113779,0.7578177961402662
CityLens Healthcare overlap,43,London,198,Parameter-matched,0.03634080647251292,1.020804777595731,0.7770808989270505
