task,seed,city,N,model,R2,RMSE,MAE
CityLens Population,42,NewYork,202,Paired KD,0.331078355199389,1.462653371591933,0.977196624090684
CityLens Population,42,NewYork,202,Satellite-teacher KD,0.3285322234954603,1.4654343931728475,0.9939432293387664
CityLens Population,42,NewYork,202,Global-shuffled KD,0.304177920274161,1.4917735236040517,0.998812572378971
CityLens Population,42,Paris,130,No-Privilege,0.13036975226048197,0.6641173033182798,0.5089889137093256
CityLens Population,42,Paris,130,Paired KD,0.19502040358308825,0.6389544711340309,0.5001132203305527
CityLens Population,42,Paris,130,Satellite-teacher KD,0.24257968783548967,0.6197919782791492,0.47785942792051733
CityLens Population,42,Paris,130,Global-shuffled KD,0.1378839440041022,0.6612418677548512,0.5088117481278043
CityLens Population,42,SanFrancisco,157,No-Privilege,0.23587652354986555,2.0474342353025485,1.3300982231400136
CityLens Population,42,SanFrancisco,157,Paired KD,0.3026385503010226,1.9559473366358837,1.2729150347628537
CityLens Population,42,SanFrancisco,157,Satellite-teacher KD,0.3043147500754798,1.9535952343160483,1.282482800521308
CityLens Population,42,SanFrancisco,157,Global-shuffled KD,0.3005512440594881,1.9588723697350108,1.2511448721458147
CityLens Population,42,SaoPaulo,280,No-Privilege,0.4401167098880725,1.2547537728608757,0.835655376392993
CityLens Population,42,SaoPaulo,280,Paired KD,0.4032499074801881,1.2954062995797015,0.8754082064987141
CityLens Population,42,SaoPaulo,280,Satellite-teacher KD,0.4551364055444618,1.2378090474941492,0.8334593531062777
CityLens Population,42,SaoPaulo,280,Global-shuffled KD,0.4448584113397015,1.2494291645139304,0.8368734178425381
CityLens Population,42,Shanghai,19,No-Privilege,0.15678282868486626,1.1622613146610599,0.8445925018417126
CityLens Population,42,Shanghai,19,Paired KD,0.06175114775315482,1.2260073750284435,0.9645661111637084
CityLens Population,42,Shanghai,19,Satellite-teacher KD,0.07227821322073058,1.2191101290812036,0.9065666515155946
CityLens Population,42,Shanghai,19,Global-shuffled KD,-0.03152529283193495,1.2855056873934,0.9754836942414116
CityLens Population,42,Sydney,205,No-Privilege,0.0664348641396103,1.801564853188035,1.2592902544754994
CityLens Population,42,Sydney,205,Paired KD,0.2498040205015153,1.6149718417110093,1.112110242281613
CityLens Population,42,Sydney,205,Satellite-teacher KD,0.14986361980909124,1.7191821332298383,1.206836824991808
CityLens Population,42,Sydney,205,Global-shuffled KD,0.20650489961000673,1.6609238180790407,1.1293115358580117
CityLens Population,42,Tokyo,280,No-Privilege,0.25379396014880096,0.7042709695309635,0.5575798316347625
CityLens Population,42,Tokyo,280,Paired KD,0.26158000951805915,0.7005870891490739,0.5524508094130459
CityLens Population,42,Tokyo,280,Satellite-teacher KD,0.2950021756090737,0.6845486137151322,0.5414291125967035
CityLens Population,42,Tokyo,280,Global-shuffled KD,0.22521529557235087,0.7176305623888763,0.5747276975924087
CityLens Population,43,Beijing,29,No-Privilege,-0.8680190889245363,1.2909598448102007,1.0024987185075278
CityLens Population,43,Beijing,29,Paired KD,-0.4694514580546969,1.1449847461616105,0.8742856450288438
CityLens Population,43,Beijing,29,Satellite-teacher KD,-0.17153620737684716,1.0223507891204333,0.810273369909375
CityLens Population,43,Beijing,29,Global-shuffled KD,-0.436996098005342,1.1322696679313233,0.890425649471673
CityLens Population,43,CapeTown,245,No-Privilege,0.518157072303295,1.3515846675014527,0.9983376576985622
CityLens Population,43,CapeTown,245,Paired KD,0.4989881499792965,1.378207189074938,0.9815086152421421
